Category,Colors,Description,ItemId,Material_And_Care,PaginationImages,Sizes,Title,currentPrice,originalPrice,url
Home->Clothing->Tops and Blouses->Petite Polka Dot Tie Waist Tee,"[""  Winter White - Online Exclusive ""]",A flattering tie waist pulls your look together with a fresh and easy twist. Jewel neck. Short sleeves. Self tie waist.,496657," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496657_9192http://anninc.scene7.com/is/image/AN/496657_9192http://anninc.scene7.com/is/image/AN/496657_9192http://anninc.scene7.com/is/image/AN/496657_9192""
""http://anninc.scene7.com/is/image/AN/496657_9192_ALT1http://anninc.scene7.com/is/image/AN/496657_9192_ALT1http://anninc.scene7.com/is/image/AN/496657_9192_ALT1http://anninc.scene7.com/is/image/AN/496657_9192_ALT1http://anninc.scene7.com/is/image/AN/496657_9192_ALT1""
""http://anninc.scene7.com/is/image/AN/496657_9192_MKTG1http://anninc.scene7.com/is/image/AN/496657_9192_MKTG1http://anninc.scene7.com/is/image/AN/496657_9192_MKTG1http://anninc.scene7.com/is/image/AN/496657_9192_MKTG1http://anninc.scene7.com/is/image/AN/496657_9192_MKTG1""]","["" XXS "","" XS "","" XL ""]",Petite Polka Dot Tie Waist Tee,50,50,https://www.anntaylor.com/petite-polka-dot-tie-waist-tee/496657
Home->Suits->All Suits->The Petite Straight Pant In Washed Linen - Curvy Fit,"[""  Washed Blue Linen - Online Exclusive ""]","The perfect wear-with-all pants - done in washed linen with a touch of stretch for a refined, streamlined fit. Front zip with double hook-and-bar closure. Belt loops. Front off-seam pockets. Back besom pockets. Lined.",500536," , 55% Linen, 43% Rayon, 2% Spandex , , Dry Clean Only , , Imported ","[""http://anninc.scene7.com/is/image/AN/500536_0209""
""http://anninc.scene7.com/is/image/AN/500536_0209_ALT1""
""http://anninc.scene7.com/is/image/AN/500536_0209_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",The Petite Straight Pant In Washed Linen - Curvy Fit,98,98,https://www.anntaylor.com/the-petite-straight-pant-in-washed-linen-curvy-fit/500536
Home->Clothing->Tops and Blouses->Eyelet Square Neck Peplum Top,"["" Hot Hibiscus ""]","Cut with a flattering square neckline, our puff-sleeved eyelet peplum is all about the pretty details. Square neck. Short raglan sleeves with shirred sleeve caps and elasticized cuffs. Peplum hem. Hidden back zipper with hook-and-eye closure. Lined body.",501376," , Shell/Lining: 100% Cotton, Embroidery: 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/501376_5053""
""http://anninc.scene7.com/is/image/AN/501376_5053_ALT1""
""http://anninc.scene7.com/is/image/AN/501376_5053_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 "","" 18 ""]",Eyelet Square Neck Peplum Top,98,98,https://www.anntaylor.com/eyelet-square-neck-peplum-top/501376
Home->Clothing->Jackets->Petite Eyelet Blazer,"["" Night Sky ""]","In prettily perforated eyelet, this cotton blazer pulls it together with ease - from spring to summer. Notched lapel. 3/4 button-open sleeves allow for versatility in styling. One button front. Front besom pockets. Lined.",496443," , 100% Cotton , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496443_1362http://anninc.scene7.com/is/image/AN/496443_1362http://anninc.scene7.com/is/image/AN/496443_1362http://anninc.scene7.com/is/image/AN/496443_1362""
""http://anninc.scene7.com/is/image/AN/496443_1362_ALT1http://anninc.scene7.com/is/image/AN/496443_1362_ALT1http://anninc.scene7.com/is/image/AN/496443_1362_ALT1http://anninc.scene7.com/is/image/AN/496443_1362_ALT1""
""http://anninc.scene7.com/is/image/AN/496443_1362_ALT2http://anninc.scene7.com/is/image/AN/496443_1362_ALT2http://anninc.scene7.com/is/image/AN/496443_1362_ALT2http://anninc.scene7.com/is/image/AN/496443_1362_ALT2http://anninc.scene7.com/is/image/AN/496443_1362_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 16 ""]",Petite Eyelet Blazer,169,169,https://www.anntaylor.com/petite-eyelet-blazer/496443
Home->Suits->All Suits->The Petite Straight Leg Pant In Windowpane - Classic Fit,"[""  Blue Plaid - Online Exclusive ""]","The perfect wear-with-all pants - done in windowpane with a touch of stretch for a refined, streamlined fit. Front zip with double hook-and-bar closure. Belt loops. Front off-seam pockets. Back besom pockets.",496687," , 69% Polyester, 29% Rayon, 2% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496687_5473http://anninc.scene7.com/is/image/AN/496687_5473http://anninc.scene7.com/is/image/AN/496687_5473http://anninc.scene7.com/is/image/AN/496687_5473""
""http://anninc.scene7.com/is/image/AN/496687_5473_ALT1http://anninc.scene7.com/is/image/AN/496687_5473_ALT1http://anninc.scene7.com/is/image/AN/496687_5473_ALT1http://anninc.scene7.com/is/image/AN/496687_5473_ALT1http://anninc.scene7.com/is/image/AN/496687_5473_ALT1""
""http://anninc.scene7.com/is/image/AN/496687_5473_ALT2http://anninc.scene7.com/is/image/AN/496687_5473_ALT2http://anninc.scene7.com/is/image/AN/496687_5473_ALT2http://anninc.scene7.com/is/image/AN/496687_5473_ALT2http://anninc.scene7.com/is/image/AN/496687_5473_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 8 "","" 12 "","" 16 ""]",The Petite Straight Leg Pant In Windowpane - Classic Fit,109,109,https://www.anntaylor.com/the-petite-straight-leg-pant-in-windowpane-classic-fit/496687
Home->Suits->All Suits->The Petite Straight Pant In Sharkskin - Classic Fit,"[""  Iced Slate - Online Exclusive ""]","Designed in seasonless sharkskin, this straight leg pair flaunts a hint of stretch that imparts an amazing fit - day or night. Styled with a classically sleek straight leg silhouette. Lean through the hip and thigh. Contoured curtain waistband offers extra tailoring detail for a better fit. Front zip with double hook-and-bar closure. Belt loops. Front off-seam pockets. Back besom pockets.",444297," , 69% Polyester, 29% Rayon, 2% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/444297_6039http://anninc.scene7.com/is/image/AN/444297_6039http://anninc.scene7.com/is/image/AN/444297_6039http://anninc.scene7.com/is/image/AN/444297_6039""
""http://anninc.scene7.com/is/image/AN/444297_6039_ALT1http://anninc.scene7.com/is/image/AN/444297_6039_ALT1http://anninc.scene7.com/is/image/AN/444297_6039_ALT1http://anninc.scene7.com/is/image/AN/444297_6039_ALT1http://anninc.scene7.com/is/image/AN/444297_6039_ALT1""
""http://anninc.scene7.com/is/image/AN/444297_6039_ALT2http://anninc.scene7.com/is/image/AN/444297_6039_ALT2http://anninc.scene7.com/is/image/AN/444297_6039_ALT2http://anninc.scene7.com/is/image/AN/444297_6039_ALT2http://anninc.scene7.com/is/image/AN/444297_6039_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",The Petite Straight Pant In Sharkskin - Classic Fit,98,98,https://www.anntaylor.com/the-petite-straight-pant-in-sharkskin-classic-fit/444297
Home->Clothing->Skirts->Petite Houndstooth Pleated Skirt,"[""  Black Multi - Online Exclusive ""]","Lightly flared with a hint of swing, this smart pleated skirt earns a check plus in refined houndstooth. Hidden back zipper with hook-and-eye closure.",496415," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496415_6615http://anninc.scene7.com/is/image/AN/496415_6615http://anninc.scene7.com/is/image/AN/496415_6615http://anninc.scene7.com/is/image/AN/496415_6615""
""http://anninc.scene7.com/is/image/AN/496415_6615_ALT1http://anninc.scene7.com/is/image/AN/496415_6615_ALT1http://anninc.scene7.com/is/image/AN/496415_6615_ALT1http://anninc.scene7.com/is/image/AN/496415_6615_ALT1http://anninc.scene7.com/is/image/AN/496415_6615_ALT1""
""http://anninc.scene7.com/is/image/AN/496415_6615_ALT2http://anninc.scene7.com/is/image/AN/496415_6615_ALT2http://anninc.scene7.com/is/image/AN/496415_6615_ALT2http://anninc.scene7.com/is/image/AN/496415_6615_ALT2http://anninc.scene7.com/is/image/AN/496415_6615_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",Petite Houndstooth Pleated Skirt,109,109,https://www.anntaylor.com/petite-houndstooth-pleated-skirt/496415
Home->Clothing->Pants->The Petite Kick Crop Pant In Bi-Stretch,"[""  Atlantic Navy - Online Exclusive "",""  Black - Online Exclusive "",""  Green Eden - Online Exclusive ""]",Refined four-way stretch holds its shape while flattering yours - so you stay polished and comfortable from A.M. to P.M. Hidden side zipper. Back besom pockets.,500851," , 64% Polyester, 31% Viscose, 5% Elastane , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/500851_2223""
""http://anninc.scene7.com/is/image/AN/500851_2223_ALT1""
""http://anninc.scene7.com/is/image/AN/500851_2223_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",The Petite Kick Crop Pant In Bi-Stretch,89,89,https://www.anntaylor.com/the-petite-kick-crop-pant-in-bi-stretch/500851
Home->Accessories->Jewelry->Bee Ring,"["" Gold ""]","Topped with a pave-studded bumblebee, this charming accessory is all the buzz. 2"" width.",497138," , Imported ","[""http://anninc.scene7.com/is/image/AN/497138_3019""
""http://anninc.scene7.com/is/image/AN/497138_3019_ALT2""]","["" 5 "","" 6 "","" 7 "","" 8 ""]",Bee Ring,49,49,https://www.anntaylor.com/bee-ring/497138
Home->Clothing->Skirts->Petite Floral Pleat Hem Skirt,"[""  Night Sky - Online Exclusive ""]","Finished with a crisply pleated hem, this lightly flared skirt charms with garden-fresh florals. Hidden back zipper with hook-and-eye closure. Pleat hem.",500850," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/500850_1362http://anninc.scene7.com/is/image/AN/500850_1362http://anninc.scene7.com/is/image/AN/500850_1362http://anninc.scene7.com/is/image/AN/500850_1362""
""http://anninc.scene7.com/is/image/AN/500850_1362_ALT1http://anninc.scene7.com/is/image/AN/500850_1362_ALT1http://anninc.scene7.com/is/image/AN/500850_1362_ALT1http://anninc.scene7.com/is/image/AN/500850_1362_ALT1http://anninc.scene7.com/is/image/AN/500850_1362_ALT1""
""http://anninc.scene7.com/is/image/AN/500850_1362_ALT2http://anninc.scene7.com/is/image/AN/500850_1362_ALT2http://anninc.scene7.com/is/image/AN/500850_1362_ALT2http://anninc.scene7.com/is/image/AN/500850_1362_ALT2http://anninc.scene7.com/is/image/AN/500850_1362_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",Petite Floral Pleat Hem Skirt,89,89,https://www.anntaylor.com/petite-floral-pleat-hem-skirt/500850
Home->Suits->All Suits->The Petite Crewneck Jacket in Crosshatch,"[""  Neutral Multi - Online Exclusive ""]","In a clean, collarless silhouette, our tailored crosshatch jacket thinks outside the box. Crew neck. Long button-open sleeves allow for versatility in styling. Hidden button front. Front welt pockets. Back hem. Lined.",496732," , Shell: 66% Polyester, 32% Rayon, 2% Spandex, Lining: 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496732_9599""
""http://anninc.scene7.com/is/image/AN/496732_9599_ALT1""
""http://anninc.scene7.com/is/image/AN/496732_9599_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",The Petite Crewneck Jacket in Crosshatch,189,189,https://www.anntaylor.com/the-petite-crewneck-jacket-in-crosshatch/496732
Home->Clothing->Sweaters->Petite Perfect Pullover,"["" Black "","" Winter White "","" Azure Breeze ""]","Finished with pretty ruffle cuffs, this perfectly polished sweater is one you'll want in every color. Crew neck. Long sleeves with ruffle cuffs.",497778," , 62% Viscose, 35% Nylon, 3% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/497778_7709""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL ""]",Petite Perfect Pullover,50,50,https://www.anntaylor.com/petite-perfect-pullover/497778
Home->Clothing->Tops and Blouses->Petite 3/4 Sleeve Boatneck Luxe Tee,"["" Black "","" White "","" Green Eden ""]","Expertly tailored for an impeccable fit, this soft and stretchy tee elevates your wardrobe with a covetably luxe touch. Boatneck. 3/4 sleeves.",495653," , 92% Cotton, 8% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/495653_9000""
""http://anninc.scene7.com/is/image/AN/495653_9000_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL ""]",Petite 3/4 Sleeve Boatneck Luxe Tee,44,44,https://www.anntaylor.com/petite-32f4-sleeve-boatneck-luxe-tee/495653
Home->Clothing->Tops and Blouses->Petite Ponte Flutter Sleeve Top,"["" Black "",""  Blurred Teal - Online Exclusive ""]",Cascading flutter sleeves lend a breezy feel to our smooth ponte top. Jewel neck. Flutter sleeves.,496207," , 65% Rayon, 30% Nylon, 5% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496207_2222""
""http://anninc.scene7.com/is/image/AN/496207_2222_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL ""]",Petite Ponte Flutter Sleeve Top,49,49,https://www.anntaylor.com/petite-ponte-flutter-sleeve-top/496207
Home->Suits->All Suits->The Petite One-Button Blazer in Windowpane,"[""  Blue Plaid - Online Exclusive ""]","In a smart windowpane pattern, our impeccably tailored sheath dress thinks outside the box. Notched lapel. Long button-open sleeves allow for versatility in styling. One button front. Angled welt chest pocket. Front flap besom pockets. Back vent. Lined.",493978," , Shell: 69% Polyester, 29% Rayon, 2% Spandex, Lining: 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/493978_5473http://anninc.scene7.com/is/image/AN/493978_5473http://anninc.scene7.com/is/image/AN/493978_5473http://anninc.scene7.com/is/image/AN/493978_5473""
""http://anninc.scene7.com/is/image/AN/493978_5473_ALT1http://anninc.scene7.com/is/image/AN/493978_5473_ALT1http://anninc.scene7.com/is/image/AN/493978_5473_ALT1http://anninc.scene7.com/is/image/AN/493978_5473_ALT1http://anninc.scene7.com/is/image/AN/493978_5473_ALT1""
""http://anninc.scene7.com/is/image/AN/493978_5473_ALT2http://anninc.scene7.com/is/image/AN/493978_5473_ALT2http://anninc.scene7.com/is/image/AN/493978_5473_ALT2http://anninc.scene7.com/is/image/AN/493978_5473_ALT2http://anninc.scene7.com/is/image/AN/493978_5473_ALT2""]","["" 00 "","" 2 "","" 10 ""]",The Petite One-Button Blazer in Windowpane,179,179,https://www.anntaylor.com/the-petite-one-button-blazer-in-windowpane/493978
Home->Suits->All Suits->The Petite Pencil Skirt in Pindot,"[""  Navy Multi - Online Exclusive ""]","In a beautifully fitted pencil silhouette, our pindot skirt is always on-point. Hidden back zipper with hook-and-eye closure. Back vent. Lined.",492344," , Shell: 70% Polyester, 25% Rayon, 5% Spandex, Lining: 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/492344_8351""
""http://anninc.scene7.com/is/image/AN/492344_8351_ALT1""
""http://anninc.scene7.com/is/image/AN/492344_8351_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 16 ""]",The Petite Pencil Skirt in Pindot,98,98,https://www.anntaylor.com/petite-pindot-pencil-skirt/492344
Home->Clothing->Pants->The Petite Ankle Pant In Eyelet - Curvy Fit,"[""  Night Sky - Online Exclusive ""]",A silhouette with lean symmetry and a custom-tailored feel - in the prettiest eyelet. Front zip with hook-and-bar closure. Belt loops. Front off-seam pockets. Back besom pockets. Lined.,496522," , 100% Cotton , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496522_1362http://anninc.scene7.com/is/image/AN/496522_1362http://anninc.scene7.com/is/image/AN/496522_1362http://anninc.scene7.com/is/image/AN/496522_1362""
""http://anninc.scene7.com/is/image/AN/496522_1362_ALT1http://anninc.scene7.com/is/image/AN/496522_1362_ALT1http://anninc.scene7.com/is/image/AN/496522_1362_ALT1http://anninc.scene7.com/is/image/AN/496522_1362_ALT1http://anninc.scene7.com/is/image/AN/496522_1362_ALT1""
""http://anninc.scene7.com/is/image/AN/496522_1362_ALT2http://anninc.scene7.com/is/image/AN/496522_1362_ALT2http://anninc.scene7.com/is/image/AN/496522_1362_ALT2http://anninc.scene7.com/is/image/AN/496522_1362_ALT2http://anninc.scene7.com/is/image/AN/496522_1362_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",The Petite Ankle Pant In Eyelet - Curvy Fit,109,109,https://www.anntaylor.com/the-petite-ankle-pant-in-eyelet-curvy-fit/496522
Home->Clothing->Tops and Blouses->Petite Floral Scalloped Placket Shell,"[""  Winter White - Online Exclusive ""]",A scalloped placket lends romantic edge to our refined knit shell. Mandarin collar. Sleeveless. Hidden button front placket.,501516," , Front: 100% Polyester, Back: 95% Polyester, 5% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/501516_9192""
""http://anninc.scene7.com/is/image/AN/501516_9192_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL ""]",Petite Floral Scalloped Placket Shell,50,50,https://www.anntaylor.com/petite-floral-scalloped-placket-shell/501516
Home->Clothing->Tops and Blouses->Petite Lace Sleeve Ponte Top,"[""  Night Sky - Online Exclusive "",""  Desert Yellow - Online Exclusive ""]","Accentuated with peek-a-boo lace trim at the sleeves, our smooth knit top brings romance to your everyday. Jewel neck. Short sleeves. Side slits.",496243," , Knit: 95% Polyester, 5% Spandex, Woven: 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496243_1362""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL ""]",Petite Lace Sleeve Ponte Top,50,50,https://www.anntaylor.com/petite-lace-sleeve-ponte-top/496243
Home->Clothing->Tops and Blouses->Petite Seamed Top,"[""  Night Sky - Online Exclusive ""]","A modern play on everyday chic, our seamed top looks polished - but feels effortless. Crew neck. Short sleeves. Hidden back zipper with hook-and-eye closure.",496642," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496642_1362""
""http://anninc.scene7.com/is/image/AN/496642_1362_ALT1""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",Petite Seamed Top,50,50,https://www.anntaylor.com/petite-seamed-top/496642
Home->Clothing->Tops and Blouses->Petite Floral Side Pleat Shell,"["" Night Sky ""]","Styled with a side pleat for extra ease of movement, our floral shell is borderline perfection. Jewel neck. Sleeveless. Side slits. Back slit with button closure.",496604," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496604_1362http://anninc.scene7.com/is/image/AN/496604_1362http://anninc.scene7.com/is/image/AN/496604_1362http://anninc.scene7.com/is/image/AN/496604_1362""
""http://anninc.scene7.com/is/image/AN/496604_1362_ALT1http://anninc.scene7.com/is/image/AN/496604_1362_ALT1http://anninc.scene7.com/is/image/AN/496604_1362_ALT1http://anninc.scene7.com/is/image/AN/496604_1362_ALT1http://anninc.scene7.com/is/image/AN/496604_1362_ALT1""
""http://anninc.scene7.com/is/image/AN/496604_1362_ALT2http://anninc.scene7.com/is/image/AN/496604_1362_ALT2http://anninc.scene7.com/is/image/AN/496604_1362_ALT2http://anninc.scene7.com/is/image/AN/496604_1362_ALT2http://anninc.scene7.com/is/image/AN/496604_1362_ALT2""]","["" XXS "","" XS "","" S "","" M ""]",Petite Floral Side Pleat Shell,50,50,https://www.anntaylor.com/petite-floral-side-pleat-shell/496604
Home->Clothing->Tops and Blouses->Petite Floral V-Neck Ruffle Lace Trim Blouse,"[""  Night Sky - Online Exclusive ""]",This refined blouse is made even more romantic with a cascading ruffle V-neck and intricate lace trim. V-neck. Long sleeves with button cuffs. Shirttail hem. Lined body.,496649," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496649_1362""
""http://anninc.scene7.com/is/image/AN/496649_1362_ALT1""
""http://anninc.scene7.com/is/image/AN/496649_1362_ALT2""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL ""]",Petite Floral V-Neck Ruffle Lace Trim Blouse,50,50,https://www.anntaylor.com/petite-floral-v-neck-ruffle-lace-trim-blouse/496649
Home->Suits->All Suits->Petite Crosshatch Boatneck Sheath Dress,"["" Grey Multi ""]","In a stylishly streamlined silhouette, our tailored crosshatch sheath thinks outside the box. Boatneck. Cap sleeves. Hidden back zipper with hook-and-eye closure. Back vent. Lined.",496730," , Shell: 66% Polyester, 32% Rayon, 2% Spandex, Lining: 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496730_6103""
""http://anninc.scene7.com/is/image/AN/496730_6103_ALT1""
""http://anninc.scene7.com/is/image/AN/496730_6103_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",Petite Crosshatch Boatneck Sheath Dress,149,149,https://www.anntaylor.com/petite-crosshatch-boatneck-sheath-dress/496730
Home->Clothing->Skirts->Petite Eyelet Flounce Midi Skirt,"[""  Night Sky - Online Exclusive ""]","Keep it breezy and fresh with our pretty eyelet midi, flounced at the hem for a feminine spin. Hidden back zipper with hook-and-eye closure. Flounce hem. Lined.",496406," , 100% Cotton , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496406_1362http://anninc.scene7.com/is/image/AN/496406_1362http://anninc.scene7.com/is/image/AN/496406_1362http://anninc.scene7.com/is/image/AN/496406_1362""
""http://anninc.scene7.com/is/image/AN/496406_1362_ALT1http://anninc.scene7.com/is/image/AN/496406_1362_ALT1http://anninc.scene7.com/is/image/AN/496406_1362_ALT1http://anninc.scene7.com/is/image/AN/496406_1362_ALT1http://anninc.scene7.com/is/image/AN/496406_1362_ALT1""
""http://anninc.scene7.com/is/image/AN/496406_1362_ALT2http://anninc.scene7.com/is/image/AN/496406_1362_ALT2http://anninc.scene7.com/is/image/AN/496406_1362_ALT2http://anninc.scene7.com/is/image/AN/496406_1362_ALT2http://anninc.scene7.com/is/image/AN/496406_1362_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",Petite Eyelet Flounce Midi Skirt,109,109,https://www.anntaylor.com/petite-eyelet-flounce-midi-skirt/496406
Home->Suits->All Suits->The Petite Ankle Pant In Crosshatch,"[""  Neutral Multi - Online Exclusive ""]",A silhouette with lean symmetry and a custom-tailored feel - in a smart crosshatch pattern. Front zip with hook-and-bar closure. Belt loops. Front off-seam pockets. Back besom pockets.,496733," , 66% Polyester, 32% Rayon, 2% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496733_9599""
""http://anninc.scene7.com/is/image/AN/496733_9599_ALT1""
""http://anninc.scene7.com/is/image/AN/496733_9599_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",The Petite Ankle Pant In Crosshatch,109,109,https://www.anntaylor.com/the-petite-ankle-pant-in-crosshatch/496733
Home->Clothing->Tops and Blouses->Petite Essential Sleeveless Shirt,"["" Black "","" Delicate Ecru ""]","With a slim fit and a bit of drape, count on this one every time you go to your closet. Point collar. Sleeveless. Button front placket. Back yoke. Shirttail hem.",501378," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/501378_2222""
""http://anninc.scene7.com/is/image/AN/501378_2222_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L ""]",Petite Essential Sleeveless Shirt,50,50,https://www.anntaylor.com/petite-essential-sleeveless-shirt/501378
Home->Accessories->Jewelry->Rope Textured Metal Collar,"["" Gold ""]","Braided rope texture adds a fashion forward twist to this brightly polished collar. 5 1/2"" diameter.",497007," , Imported ","[""http://anninc.scene7.com/is/image/AN/497007_3019""
""http://anninc.scene7.com/is/image/AN/497007_3019_ALT2""
""http://anninc.scene7.com/is/image/AN/497007_3019_ALT2""]","["" ONE SIZE ""]",Rope Textured Metal Collar,50,50,https://www.anntaylor.com/rope-textured-metal-collar/497007
Home->Clothing->Pants->The Petite Cotton Crop Pant,"["" Atlantic Navy "","" Black "",""  Dove Grey - Online Exclusive "",""  Coastal Beige - Online Exclusive ""]","Give your wardrobe an instant upgrade with this essential pair, outfitted with clean lines and an amazingly flattering fit. Front zip with button closure. Belt loops. Front and back welt pockets. Side slits at ankle.",496494," , 98% Cotton, 2% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496494_8877""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",The Petite Cotton Crop Pant,69,69,https://www.anntaylor.com/the-petite-cotton-crop-pant/496494
Home->Clothing->Skirts->Petite Tie Waist Wrap Skirt,"["" Royal Azure ""]","Topped with a pretty tie waist, our wrap skirt is equal parts ease - and polish. Self tie belt. Hidden side zipper with hook-and-eye closure. Lined.",476847," , Shell: 64% Polyester, 34% Rayon, 2% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/476847_7616http://anninc.scene7.com/is/image/AN/476847_7616http://anninc.scene7.com/is/image/AN/476847_7616http://anninc.scene7.com/is/image/AN/476847_7616""
""http://anninc.scene7.com/is/image/AN/476847_7616_ALT1http://anninc.scene7.com/is/image/AN/476847_7616_ALT1http://anninc.scene7.com/is/image/AN/476847_7616_ALT1http://anninc.scene7.com/is/image/AN/476847_7616_ALT1http://anninc.scene7.com/is/image/AN/476847_7616_ALT1""
""http://anninc.scene7.com/is/image/AN/476847_7616_ALT2http://anninc.scene7.com/is/image/AN/476847_7616_ALT2http://anninc.scene7.com/is/image/AN/476847_7616_ALT2http://anninc.scene7.com/is/image/AN/476847_7616_ALT2http://anninc.scene7.com/is/image/AN/476847_7616_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 ""]",Petite Tie Waist Wrap Skirt,109,109,https://www.anntaylor.com/petite-tie-waist-wrap-skirt/476847
Home->Clothing->Sweaters->Petite Floral Ann Cardigan,"[""  Winter White - Online Exclusive ""]","Meet our instant wardrobe icon, the Ann Cardigan. Tailored in a soft knit, our signature favorite comes in an array of rich colors and patterns. Crew neck. Long sleeves. Button front. Ribbed neckline, cuffs and hem.",500640," , 100% Cotton , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/500640_9192""
""http://anninc.scene7.com/is/image/AN/500640_9192_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L ""]",Petite Floral Ann Cardigan,50,50,https://www.anntaylor.com/petite-floral-ann-cardigan/500640
