Category,Colors,Description,ItemId,Material_And_Care,PaginationImages,Sizes,Title,currentPrice,originalPrice,url
Home->Clothing->Tops and Blouses->Tunic Tee,"["" Ash Heather "","" Urban Blue "",""  Light Blue Heather - Online Exclusive ""]","Meet your real-life uniform: this is Luxewear. Every day. Every wear. Perfect for mixing and matching, our tunic tee features an overlapped shirttail hem for an extra flattering effect. Jewel neck. Short sleeves. Shirttail hem.",489570," , 82% Rayon, 15% Polyester, 3% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/489570_6585""
""http://anninc.scene7.com/is/image/AN/489570_6585_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL "","" XXL ""]",Tunic Tee,39,39,https://www.anntaylor.com/tunic-tee/489570
Home->Clothing->Tops and Blouses->Piped Draped Open Cardigan,"["" Beachside Khaki Heather "","" Black ""]",Our piped open cardigan freshens your wardrobe with an easy drape and season-perfect palette. Open front. Long sleeves.,481862," , 80% Polyester, 20% Rayon , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/481862_1042""
""http://anninc.scene7.com/is/image/AN/481862_1042_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL "","" XXL ""]",Piped Draped Open Cardigan,39,50,https://www.anntaylor.com/piped-draped-open-cardigan/481862
Home->Accessories->Jewelry->Circle Stone Earrings,"[""  White - Online Exclusive ""]","Crafted with luminous circular stones, this refined accessory is one of the season's most polished extras. French wire. 2"" drop.",496956," , Imported ","[""http://anninc.scene7.com/is/image/AN/496956_9000http://anninc.scene7.com/is/image/AN/496956_9000http://anninc.scene7.com/is/image/AN/496956_9000http://anninc.scene7.com/is/image/AN/496956_9000""
""http://anninc.scene7.com/is/image/AN/496956_9000_ALT2http://anninc.scene7.com/is/image/AN/496956_9000_ALT2http://anninc.scene7.com/is/image/AN/496956_9000_ALT2http://anninc.scene7.com/is/image/AN/496956_9000_ALT2http://anninc.scene7.com/is/image/AN/496956_9000_ALT2""
""http://anninc.scene7.com/is/image/AN/496956_9000_MKTG1http://anninc.scene7.com/is/image/AN/496956_9000_MKTG1http://anninc.scene7.com/is/image/AN/496956_9000_MKTG1http://anninc.scene7.com/is/image/AN/496956_9000_MKTG1http://anninc.scene7.com/is/image/AN/496956_9000_MKTG1""]","["" ONE SIZE ""]",Circle Stone Earrings,49,49,https://www.anntaylor.com/circle-stone-earrings/496956
Home->Clothing->Jeans->Skinny Velvet Jeans,"["" Black "","" Dark Harbor Grey "","" Reflection "","" Night Sky ""]","Here’s the skinny: your favorite jeans just got a major upgrade. Performance stretch sculpts, shapes and supports all day long. Front zip with button closure. Belt loops. Classic five-pocket styling.",473393," , 82% Cotton, 14% Viscose, 2% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/473393_2222""
""http://anninc.scene7.com/is/image/AN/473393_2222_ALT1""
""http://anninc.scene7.com/is/image/AN/473393_2222_ALT2""]","["" 0 "","" 10 "","" 12 "","" 14 "","" 16 "","" 18 ""]",Skinny Velvet Jeans,19,89,https://www.anntaylor.com/skinny-velvet-jeans/473393
Home->Clothing->Jeans->Skinny Velvet Jeans,"["" Black "","" Dark Harbor Grey "","" Reflection "","" Night Sky ""]","Here’s the skinny: your favorite jeans just got a major upgrade. Performance stretch sculpts, shapes and supports all day long. Front zip with button closure. Belt loops. Classic five-pocket styling.",473393," , 82% Cotton, 14% Viscose, 2% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/473393_1362""
""http://anninc.scene7.com/is/image/AN/473393_1362_ALT1""
""http://anninc.scene7.com/is/image/AN/473393_1362_ALT2""]","["" 0 "","" 10 "","" 12 "","" 14 "","" 16 "","" 18 ""]",Skinny Velvet Jeans,19,89,https://www.anntaylor.com/skinny-velvet-jeans/473393
Home->Clothing->Jeans->Skinny Velvet Jeans,"["" Black "","" Dark Harbor Grey "","" Reflection "","" Night Sky ""]","Here’s the skinny: your favorite jeans just got a major upgrade. Performance stretch sculpts, shapes and supports all day long. Front zip with button closure. Belt loops. Classic five-pocket styling.",473393," , 82% Cotton, 14% Viscose, 2% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/473393_0884http://anninc.scene7.com/is/image/AN/473393_0884http://anninc.scene7.com/is/image/AN/473393_0884http://anninc.scene7.com/is/image/AN/473393_0884""
""http://anninc.scene7.com/is/image/AN/473393_0884_ALT1http://anninc.scene7.com/is/image/AN/473393_0884_ALT1http://anninc.scene7.com/is/image/AN/473393_0884_ALT1http://anninc.scene7.com/is/image/AN/473393_0884_ALT1http://anninc.scene7.com/is/image/AN/473393_0884_ALT1""
""http://anninc.scene7.com/is/image/AN/473393_0884_ALT2http://anninc.scene7.com/is/image/AN/473393_0884_ALT2http://anninc.scene7.com/is/image/AN/473393_0884_ALT2http://anninc.scene7.com/is/image/AN/473393_0884_ALT2http://anninc.scene7.com/is/image/AN/473393_0884_ALT2""]","["" 0 "","" 10 "","" 12 "","" 14 "","" 16 "","" 18 ""]",Skinny Velvet Jeans,19,89,https://www.anntaylor.com/skinny-velvet-jeans/473393
Home->Clothing->Jeans->Skinny Velvet Jeans,"["" Black "","" Dark Harbor Grey "","" Reflection "","" Night Sky ""]","Here’s the skinny: your favorite jeans just got a major upgrade. Performance stretch sculpts, shapes and supports all day long. Front zip with button closure. Belt loops. Classic five-pocket styling.",473393," , 82% Cotton, 14% Viscose, 2% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/473393_6019""
""http://anninc.scene7.com/is/image/AN/473393_6019_ALT1""
""http://anninc.scene7.com/is/image/AN/473393_6019_ALT2""]","["" 0 "","" 10 "","" 12 "","" 14 "","" 16 "","" 18 ""]",Skinny Velvet Jeans,19,89,https://www.anntaylor.com/skinny-velvet-jeans/473393
Home->Accessories->Jewelry->Crystal Stone Drop Earrings,"["" Pink Dust "","" Aquifer ""]","Our luminous stone drop earrings are enhanced with a glittering crystal, for a perfectly polished pairing. French wire. 1 1/4"" drop.",496943," , Imported ","[""http://anninc.scene7.com/is/image/AN/496943_0845""]","["" ONE SIZE ""]",Crystal Stone Drop Earrings,49,49,https://www.anntaylor.com/crystal-stone-drop-earrings/496943
Home->Shoes->All Shoes->Edina Scalloped Suede Heeled Sandals,"["" True Navy "","" Serena Pink ""]","Starring a single scalloped strap, this modern minimalist effortlessly enchants in luxe suede. Padded footbed for comfort. 2"" heel.",494449," , Kid Suede , , Imported ","[""http://anninc.scene7.com/is/image/AN/494449_5273""]","["" 5 "","" 5 1/2 "","" 6 "","" 6 1/2 "","" 7 "","" 7 1/2 "","" 8 "","" 8 1/2 "","" 9 "","" 9 1/2 "","" 10 "","" 11 ""]",Edina Scalloped Suede Heeled Sandals,128,128,https://www.anntaylor.com/edina-scalloped-suede-heeled-sandals/494449
Home->Clothing->Skirts->Curvy Tweed Faux Wrap Pencil Skirt,"[""  Black - Online Exclusive ""]","Cut in a wrap-style silhouette for extra ease of movement, our fringed tweed skirt adds impeccable richness and texture. Fuller through the hip and thigh. Front vent. Hidden back zipper with hook-and-eye closure. Lined.",496416," , Shell: 66% Polyester, 25% Acrylic, 2% Wool, 7% Other Fibers, Lining: 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496416_2222http://anninc.scene7.com/is/image/AN/496416_2222http://anninc.scene7.com/is/image/AN/496416_2222http://anninc.scene7.com/is/image/AN/496416_2222""
""http://anninc.scene7.com/is/image/AN/496416_2222_ALT1http://anninc.scene7.com/is/image/AN/496416_2222_ALT1http://anninc.scene7.com/is/image/AN/496416_2222_ALT1http://anninc.scene7.com/is/image/AN/496416_2222_ALT1http://anninc.scene7.com/is/image/AN/496416_2222_ALT1""
""http://anninc.scene7.com/is/image/AN/496416_2222_ALT2http://anninc.scene7.com/is/image/AN/496416_2222_ALT2http://anninc.scene7.com/is/image/AN/496416_2222_ALT2http://anninc.scene7.com/is/image/AN/496416_2222_ALT2http://anninc.scene7.com/is/image/AN/496416_2222_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",Curvy Tweed Faux Wrap Pencil Skirt,98,98,https://www.anntaylor.com/curvy-tweed-faux-wrap-pencil-skirt/496416
